chien_uid,nom_chien_affiche,identifiant,affixe,discipline_norm,presentations,resultats,points,CACIT,RCACIT,CACT,RCACT,EXC,TB,CQN,taux_resultat,score_moyen_presentation
HARPER DE BEHIGO | 2GZN664,HARPER DE BEHIGO,2GZN664,DE BEHIGO,printemps,91,35,2437,7,2,5,2,18,1,0,0.38461538461538464,26.78021978021978
NOX DE CAZAOUS | 250268731950137,NOX DE CAZAOUS,250268731950137,DE CAZAOUS,discipline_non_identifiee,62,32,2278,6,2,8,3,12,1,0,0.5161290322580645,36.74193548387097
GADGET DU GOURG D'ENFER | 250269604324297,GADGET DU GOURG D'ENFER,250269604324297,DU GOURG D'ENFER,becasse,78,32,2250,0,0,17,5,10,0,0,0.41025641025641024,28.846153846153847
MILLA DU PARC DES CHAUMES | 250269802766784,MILLA DU PARC DES CHAUMES,250269802766784,DU PARC DES CHAUMES,printemps,95,34,2038,2,0,6,4,19,3,0,0.35789473684210527,21.45263157894737
MILTON DE LA JOUX DE LA BECASSE | 250268731537824,MILTON DE LA JOUX DE LA BECASSE,250268731537824,DE LA JOUX DE LA BECASSE,becasse,107,29,1926,0,0,13,2,12,2,0,0.27102803738317754,18.0
HUSSARD DE LA LANDE DES DUNES DU SUD | 250268710134965,HUSSARD DE LA LANDE DES DUNES DU SUD,250268710134965,DE LA LANDE DES DUNES DU SUD,becasse,86,26,1896,1,0,14,5,6,0,0,0.3023255813953488,22.046511627906977
NUAGE DES BORDS DU VERDELET | 250268732521483,NUAGE DES BORDS DU VERDELET,250268732521483,DES BORDS DU VERDELET,becassine,117,29,1877,3,0,4,2,19,0,1,0.24786324786324787,16.042735042735043
SATINE DE LA JOUX DE LA BECASSE | 250268723158005,SATINE DE LA JOUX DE LA BECASSE,250268723158005,DE LA JOUX DE LA BECASSE,becasse,91,26,1871,1,2,10,5,8,0,0,0.2857142857142857,20.560439560439562
IOLE DES FORETS CORREZIENNES | 123VWD,IOLE DES FORETS CORREZIENNES,123VWD,DES FORETS CORREZIENNES,becasse,82,26,1837,1,1,11,6,6,0,1,0.3170731707317073,22.402439024390244
IOSCHIE DU PARC DES CHAUMES | 250269802256131,IOSCHIE DU PARC DES CHAUMES,250269802256131,DU PARC DES CHAUMES,printemps,85,28,1778,1,0,7,6,11,3,0,0.32941176470588235,20.91764705882353
IROISE DU BARALAN | 111SSD,IROISE DU BARALAN,111SSD,DU BARALAN,becasse,83,26,1750,0,0,13,3,8,2,0,0.3132530120481928,21.08433734939759
IDEM DES BELLES DU CAUSSE | 250269802230580,IDEM DES BELLES DU CAUSSE,250269802230580,DES BELLES DU CAUSSE,printemps,89,25,1681,1,3,6,3,11,1,0,0.2808988764044944,18.8876404494382
JULIE DE LA FOUGERE AIGLE | 250269802390383,JULIE DE LA FOUGERE AIGLE,250269802390383,DE LA FOUGERE AIGLE,becasse,61,25,1664,0,0,10,4,11,0,0,0.4098360655737705,27.278688524590162
HOLDEN DES MONTS COUVENTS | 2HBY727,HOLDEN DES MONTS COUVENTS,2HBY727,DES MONTS COUVENTS,becasse,113,27,1659,0,0,7,3,15,2,0,0.23893805309734514,14.68141592920354
ILONA DU GOURG D'ENFER | 250269604886638,ILONA DU GOURG D'ENFER,250269604886638,DU GOURG D'ENFER,becasse,84,24,1643,0,0,11,6,6,1,0,0.2857142857142857,19.55952380952381
LUFFY DE LA SALMONAIS | 250269811206653,LUFFY DE LA SALMONAIS,250269811206653,DE LA SALMONAIS,becassine,127,25,1633,2,1,5,3,12,2,0,0.1968503937007874,12.858267716535433
JANGA DU BIEF JOLI | 250268711188851,JANGA DU BIEF JOLI,250268711188851,DU BIEF JOLI,discipline_non_identifiee,55,23,1614,1,2,8,1,11,0,0,0.41818181818181815,29.345454545454544
NEAL DU PARC DES CHAUMES | 250269811421332,NEAL DU PARC DES CHAUMES,250269811421332,DU PARC DES CHAUMES,printemps,64,24,1580,4,1,1,2,15,1,0,0.375,24.6875
IRO DES PICS LUCHONNAIS | 250268731030465,IRO DES PICS LUCHONNAIS,250268731030465,DES PICS LUCHONNAIS,becasse,111,25,1547,0,0,7,2,16,0,0,0.22522522522522523,13.936936936936936
RAGNAR DU PARC DES CHAUMES | 250269100130353,RAGNAR DU PARC DES CHAUMES,250269100130353,DU PARC DES CHAUMES,printemps,54,20,1484,2,3,7,2,6,0,0,0.37037037037037035,27.48148148148148
GIONO DU VAL DU RUTH | 2GZN290,GIONO DU VAL DU RUTH,2GZN290,DU VAL DU RUTH,grande_quete,34,18,1464,9,1,1,1,6,0,0,0.5294117647058824,43.05882352941177
NANOOK DE CAZAOUS | 250268731949968,NANOOK DE CAZAOUS,250268731949968,DE CAZAOUS,discipline_non_identifiee,49,24,1454,0,0,6,2,15,1,0,0.4897959183673469,29.6734693877551
ELTXAR DE SIERRA BADAYA | 941000014071650,ELTXAR DE SIERRA BADAYA,941000014071650,DE SIERRA BADAYA,becasse,65,24,1414,0,0,6,2,13,3,0,0.36923076923076925,21.753846153846155
IKE DE LA SALMONAIS | 250269810058122,IKE DE LA SALMONAIS,250269810058122,DE LA SALMONAIS,becassine,98,23,1408,3,0,1,1,16,2,0,0.23469387755102042,14.36734693877551
LIXTO DE BUZUNTZA | 165CFN,LIXTO DE BUZUNTZA,165CFN,DE BUZUNTZA,becasse,100,23,1375,0,1,5,2,12,2,1,0.23,13.75
