affixe,chiens,presentations,resultats,points,chiens_resultats,haut_niveau,CACIT,RCACIT,CACT,RCACT,EXC,TB,CQN,taux_resultat,score_moyen_presentation,points_moyens_par_chien,pct_chiens_resultats,fiabilite,chiens_leaders,disciplines_fortes,indice_affixe
DE CAZAOUS,44,1281,389,23371,40,145,7,3,89,46,197,41,6,0.3036690085870414,18.24434035909446,531.1590909090909,0.9090909090909091,exploitable,"NOX DE CAZAOUS, NANOOK DE CAZAOUS, SALTO DE CAZAOUS","discipline_non_identifiee, becasse, printemps",79.62949790091292
DU PARC DES CHAUMES,63,2518,483,29164,51,166,29,17,73,47,254,48,15,0.19181890389197775,11.582208101667991,462.92063492063494,0.8095238095238095,exploitable,"IONA DU PARC DES CHAUMES, MILLA DU PARC DES CHAUMES, IOSCHIE DU PARC DES CHAUMES","printemps, becasse, grande_quete",75.44618415981914
DE L'ECHO DE LA FORET,34,1153,257,15596,29,84,17,4,45,18,141,30,2,0.22289679098005205,13.526452732003468,458.70588235294116,0.8529411764705882,exploitable,"HUGH II DE L'ECHO DE LA FORET, SALTO DE L'ECHO DE LA FORET, PATCHICA DE L'ECHO DE LA FORET","printemps, becasse, discipline_non_identifiee",73.30268887786376
DU GOURG D'ENFER,19,924,162,10075,18,73,5,1,44,23,73,14,2,0.17532467532467533,10.903679653679653,530.2631578947369,0.9473684210526315,exploitable,"GADGET DU GOURG D'ENFER, ILONA DU GOURG D'ENFER, OSTIN DU GOURG D'ENFER","becasse, printemps, grande_quete",71.62705989780419
DES LANDES AUX VIGNES,4,158,47,3220,4,26,6,3,11,6,18,3,0,0.2974683544303797,20.379746835443036,805.0,1.0,exploitable,"GIBUS DES LANDES AUX VIGNES, IONIS DES LANDES AUX VIGNES, ITHO DES LANDES AUX VIGNES","printemps, discipline_non_identifiee, becasse",70.01711098458308
DES SAGNES DES MILLE SOURCES,36,1294,237,13571,28,80,2,4,47,27,106,42,9,0.1831530139103555,10.487635239567233,376.97222222222223,0.7777777777777778,exploitable,"HENZO DES SAGNES DES MILLE SOURCES, OASIS DES SAGNES DES MILLE SOURCES, HAZPACHO DES SAGNES DES MILLE SOURCES","becasse, becassine, printemps",69.89451145626605
DE LA JOUX DE LA BECASSE,12,525,104,6594,11,49,1,2,33,13,46,6,3,0.1980952380952381,12.56,549.5,0.9166666666666666,exploitable,"MILTON DE LA JOUX DE LA BECASSE, SATINE DE LA JOUX DE LA BECASSE, SHANEL DE LA JOUX DE LA BECASSE","becasse, grande_quete",69.8317014789922
DU MAS D'EYRAUD,83,1800,319,17860,59,76,16,7,30,23,176,61,5,0.17722222222222223,9.922222222222222,215.18072289156626,0.7108433734939759,exploitable,"GLOVER DU MAS D'EYRAUD, HOMER DU MAS D'EYRAUD, HARTOU DU MAS D'EYRAUD","printemps, grande_quete, discipline_non_identifiee",69.41118617137857
DU SENTIER DES LUTINS,42,1441,211,11860,37,57,5,4,29,19,109,41,4,0.14642609299097847,8.230395558639833,282.3809523809524,0.8809523809523809,exploitable,"HEBLIS DU SENTIER DES LUTINS, JOYE II DU SENTIER DES LUTINS, IMEL DU SENTIER DES LUTINS","printemps, becasse, grande_quete",69.03210351809548
DE LA TOUR MADELOC,12,415,100,6450,9,43,12,4,18,9,47,8,2,0.24096385542168675,15.542168674698795,537.5,0.75,exploitable,"JADE DE LA TOUR MADELOC, NO VICE DE LA TOUR MADELOC, FLORA DE LA TOUR MADELOC","becasse, printemps, discipline_non_identifiee",68.53633355567477
DE BEHIGO,12,466,93,6231,10,43,13,3,22,5,43,5,2,0.19957081545064378,13.371244635193133,519.25,0.8333333333333334,exploitable,"HARPER DE BEHIGO, OUMY DE BEHIGO, OKLAND DE BEHIGO","printemps, becasse, discipline_non_identifiee",68.44825008017187
DU MAS DES VERNETS,36,616,129,8329,24,61,18,7,23,13,46,16,6,0.20941558441558442,13.521103896103897,231.36111111111111,0.6666666666666666,exploitable,"MAO DU MAS DES VERNETS, ICE II DU MAS DES VERNETS, RIBELLU DU MAS DES VERNETS","becasse, montagne, printemps",68.06789483923622
DE LA FOUGERE AIGLE,36,1149,203,12145,24,80,5,1,42,32,98,19,6,0.17667536988685814,10.57006092254134,337.3611111111111,0.6666666666666666,exploitable,"JULIE DE LA FOUGERE AIGLE, NOUSHKA DE LA FOUGERE AIGLE, SALTO DE LA FOUGERE AIGLE","becasse, printemps, discipline_non_identifiee",67.97584644245353
DU BARALAN,13,419,91,5549,10,39,0,1,29,9,39,12,1,0.2171837708830549,13.243436754176612,426.84615384615387,0.7692307692307693,exploitable,"IROISE DU BARALAN, ISATHIS DU BARALAN, INSOLENT DU BARALAN","becasse, grande_quete, printemps",66.79336431306083
DU TERTRE D'ARDIT,11,428,92,5379,10,25,0,0,17,8,56,11,0,0.21495327102803738,12.567757009345794,489.0,0.9090909090909091,exploitable,"REMCO DU TERTRE D'ARDIT, REGGAE DU TERTRE D'ARDIT, RAINBOW DU TERTRE D'ARDIT","discipline_non_identifiee, printemps, becasse",66.75828424297585
DU PUY DU FOUGEROUX,18,822,141,8508,14,43,6,3,28,6,84,13,1,0.17153284671532848,10.35036496350365,472.6666666666667,0.7777777777777778,exploitable,"METIS DU PUY DU FOUGEROUX, PIANA DU PUY DU FOUGEROUX, MORPHEE DU PUY DU FOUGEROUX","printemps, becasse, discipline_non_identifiee",66.59390628976367
DU FER SERVADOU,18,775,139,8017,14,44,8,1,17,18,71,17,7,0.17935483870967742,10.344516129032257,445.3888888888889,0.7777777777777778,exploitable,"ILOU DU FER SERVADOU, OPIUM DU FER SERVADOU, O'HARA DU FER SERVADOU","printemps, becasse, discipline_non_identifiee",66.46044555220118
DE LA PLUME DU PEVELE,22,774,109,6499,20,37,7,5,12,13,56,14,2,0.14082687338501293,8.396640826873385,295.40909090909093,0.9090909090909091,exploitable,"MODJO DE LA PLUME DU PEVELE, THELMA DE LA PLUME DU PEVELE, IBRA DE LA PLUME DU PEVELE","printemps, grande_quete, becasse",66.30152925258128
DES BELLES DU CAUSSE,27,1007,158,9550,19,53,7,6,27,13,87,14,4,0.15690168818272096,9.483614697120158,353.7037037037037,0.7037037037037037,exploitable,"IDEM DES BELLES DU CAUSSE, HIBRA DES BELLES DU CAUSSE, IRON DES BELLES DU CAUSSE","printemps, discipline_non_identifiee, becasse",65.98184841218139
DES COLLINES DE MIOUVIN,5,188,59,3088,5,10,1,1,6,2,35,14,0,0.31382978723404253,16.425531914893618,617.6,1.0,exploitable,"OPIUM DES COLLINES DE MIOUVIN, ROY DES COLLINES DE MIOUVIN, OLYMPE DES COLLINES DE MIOUVIN","discipline_non_identifiee, printemps, becasse",65.8748567491779
DU GOUYRE,4,149,41,2372,4,13,1,2,5,5,22,6,0,0.2751677852348993,15.919463087248323,593.0,1.0,exploitable,"LEVIS DU GOUYRE, HUNTER DU GOUYRE, HAVANE DU GOUYRE","discipline_non_identifiee, printemps, becasse",65.81943854637102
DE L'ANTRE DES COUREURS DES B,6,123,37,2200,6,10,0,1,7,2,24,3,0,0.3008130081300813,17.88617886178862,366.6666666666667,1.0,exploitable,"LILI DE L'ANTRE DES COUREURS DES B, NEWS DE L'ANTRE DES COUREURS DES B, FLYER DE L'ANTRE DES COUREURS DES B","becasse, montagne, discipline_non_identifiee",65.81649657518678
DU LONG BEC D'ENCHANET,47,1559,210,11252,34,47,4,1,29,13,103,43,17,0.13470173187940987,7.217447081462476,239.40425531914894,0.723404255319149,exploitable,"GESSY DU LONG BEC D'ENCHANET, OKAY DU LONG BEC D'ENCHANET, SIAM DU LONG BEC D'ENCHANET","becasse, becassine, printemps",65.73789705121531
DU CLOS DE LA BAUDELIERE,11,210,69,3920,8,18,1,0,14,3,39,12,0,0.32857142857142857,18.666666666666668,356.3636363636364,0.7272727272727273,exploitable,"MURPHY DU CLOS DE LA BAUDELIERE, JEP DU CLOS DE LA BAUDELIERE, ICE DU CLOS DE LA BAUDELIERE","discipline_non_identifiee, printemps, becasse",65.69328623786004
DES TORNADES LOZERIENNE,4,136,54,2625,4,5,0,0,2,3,35,13,1,0.39705882352941174,19.301470588235293,656.25,1.0,exploitable,"SNOW DES TORNADES LOZERIENNE, SHELBY DES TORNADES LOZERIENNE, S-TORNADE DES TORNADES LOZERIENNE","printemps, discipline_non_identifiee, becasse",65.20054653141545
DU BIEF JOLI,33,666,126,7707,20,52,2,6,35,9,54,11,9,0.1891891891891892,11.572072072072071,233.54545454545453,0.6060606060606061,exploitable,"JANGA DU BIEF JOLI, SORIA DU BIEF JOLI, FAKIRA DU BIEF JOLI","becasse, discipline_non_identifiee, montagne",65.04652908124358
DE BUZUNTZA,28,891,133,7875,20,44,3,1,29,11,72,12,5,0.14927048260381592,8.83838383838384,281.25,0.7142857142857143,exploitable,"LIXTO DE BUZUNTZA, GERNIKA DE BUZUNTZA, LASKOR DE BUZUNTZA","becasse, printemps, discipline_non_identifiee",64.68929459603383
DES FORETS CORREZIENNES,45,1158,171,9283,29,56,4,1,29,22,68,26,21,0.14766839378238342,8.016407599309154,206.2888888888889,0.6444444444444445,exploitable,"IOLE DES FORETS CORREZIENNES, NUBI DES FORETS CORREZIENNES, FARA DES FORETS CORREZIENNES","becasse, printemps, becassine",64.42518704814584
DES MIROIRS D'AUTOMNE,3,161,35,2144,3,14,0,1,7,6,17,3,1,0.21739130434782608,13.316770186335404,714.6666666666666,1.0,exploitable,"IZYHA DES MIROIRS D'AUTOMNE, RAPACE DES MIROIRS D'AUTOMNE, HORIO DES MIROIRS D'AUTOMNE","becasse, becassine, printemps",64.30051228684805
