categorie,presentations,resultats,points,chiens,taux_resultat,score_moyen_presentation
couple_solo,28819,4669,263292,2288,0.16201117318435754,9.13605607411777
couple_solo_ouvert,16982,2998,170169,2076,0.1765398657401955,10.020551171828995
couple_ouvert,12456,2188,126821,1168,0.17565831727681439,10.181518946692357
couple,11425,1698,99025,1161,0.1486214442013129,8.667396061269146
ouvert,1844,246,14630,226,0.1334056399132321,7.933839479392625
couple_solo_ouvert_amateur,1121,214,12345,730,0.19090098126672614,11.012488849241748
categorie_non_identifiee,802,82,4903,151,0.10224438902743142,6.113466334164588
couple_ouvert_amateur,651,108,6373,377,0.16589861751152074,9.789554531490015
couple_solo_jeune,544,76,4589,278,0.13970588235294118,8.435661764705882
ouvert_amateur,262,18,1139,122,0.06870229007633588,4.347328244274809
couple_solo_ouvert_jeune,261,35,2053,169,0.13409961685823754,7.865900383141763
solo_ouvert,180,20,1250,114,0.1111111111111111,6.944444444444445
solo_ouvert_amateur,101,8,484,85,0.07920792079207921,4.792079207920792
couple_solo_ouvert_jeune_amateur,80,10,597,80,0.125,7.4625
solo,44,9,462,39,0.20454545454545456,10.5
speciale,37,5,367,33,0.13513513513513514,9.91891891891892
couple_solo_speciale,21,1,60,19,0.047619047619047616,2.857142857142857
couple_ouvert_jeune,20,2,140,10,0.1,7.0
ouvert_speciale,16,3,207,14,0.1875,12.9375
