nom_chien_affiche;identifiant;affixe;presentations;resultats;taux_resultat;points;score_moyen_presentation;haut_niveau;CACIT;RCACIT;CACT;RCACT;EXC;TB;CQN;discipline_forte;disciplines;fiabilite_volume;profil_statistique;indice_performance;meilleur_qualificatif;premiere_date;derniere_date
HARPER DE BEHIGO;2GZN664;DE BEHIGO;162;58;0.358;4188;25.8519;33;11;3;15;4;24;1;0;printemps;becasse, discipline_non_identifiee, grande_quete, printemps;très forte;élite confirmée;93.4891;CACIT;2015-03-15;2019-12-08
NOX DE CAZAOUS;250268731950137;DE CAZAOUS;94;47;0.5;3355;35.6915;30;6;2;17;5;16;1;0;discipline_non_identifiee;becasse, discipline_non_identifiee, printemps;très forte;élite confirmée;92.0341;CACIT;2019-10-10;2023-10-17
HENZO DES SAGNES DES MILLE SOURCES;250269604741148;DES SAGNES DES MILLE SOURCES;146;46;0.3151;2941;20.1438;19;2;2;10;5;24;3;0;becasse;becasse, becassine, discipline_non_identifiee, printemps;très forte;profil standard / lecture prudente;87.5882;CACIT;2014-08-27;2021-02-13
GADGET DU GOURG D'ENFER;250269604324297;DU GOURG D'ENFER;107;38;0.3551;2652;24.785;25;2;0;17;6;12;1;0;becasse;becasse, discipline_non_identifiee, grande_quete;très forte;performer régulier;87.1958;CACIT;2014-08-27;2017-12-09
HUGH II DE L'ECHO DE LA FORET;2HBH761;DE L'ECHO DE LA FORET;163;47;0.2883;3131;19.2086;21;6;0;8;7;26;0;0;printemps;becasse, becassine, discipline_non_identifiee, grande_quete, printemps;très forte;profil standard / lecture prudente;87.1728;CACIT;2014-12-17;2018-12-07
HENZO DE ROUCAOU DEI CHABAOU;250269604704390;DE ROUCAOU DEI CHABAOU;88;40;0.4545;2013;22.875;5;0;0;2;3;25;10;0;discipline_non_identifiee;becasse, discipline_non_identifiee, printemps;très forte;performer régulier;86.4247;CACT;2014-11-25;2020-10-17
OPIUM DES COLLINES DE MIOUVIN;250268501492849;DES COLLINES DE MIOUVIN;141;45;0.3191;2447;17.3546;9;1;1;5;2;28;8;0;discipline_non_identifiee;becasse, discipline_non_identifiee, printemps;très forte;profil standard / lecture prudente;86.2493;CACIT;2019-09-15;2025-10-03
JANGA DU BIEF JOLI;250268711188851;DU BIEF JOLI;85;33;0.3882;2221;26.1294;16;1;2;10;3;16;1;0;discipline_non_identifiee;becasse, discipline_non_identifiee, printemps;très forte;élite confirmée;86.1536;CACIT;2016-09-03;2018-11-10
IOLE DES FORETS CORREZIENNES;123VWD;DES FORETS CORREZIENNES;115;38;0.3304;2506;21.7913;22;2;1;11;8;13;2;1;becasse;becasse, becassine, discipline_non_identifiee, printemps;très forte;profil standard / lecture prudente;85.7787;CACIT;2014-12-11;2019-12-08
NANOOK DE CAZAOUS;250268731949968;DE CAZAOUS;73;32;0.4384;1925;26.3699;10;0;0;7;3;21;1;0;discipline_non_identifiee;becasse, discipline_non_identifiee, printemps;très forte;élite confirmée;84.9448;CACT;2018-11-26;2021-12-19
